The first degree should remain free of charge for everyone.,Scholarship should be paid regardless of the parents' income.,,
Only states that consistently respect human rights should receive development aid.,Trade relations with states that violate human rights should be stopped.,,
We have tightened the building regulations for wind power usage.,We support a halt on the construction of new wind turbines in Saxony-Anhalt.,,
"We want to make the teaching profession more attractive through equipment, limits on hours, professional development opportunities, and appropriate pay.",We support the reinstatement of tenure for teachers.,,
We support the proposal to increase the retirement age for both women and men to 67 years in order to improve the sustainability of the pension system.,We advocate for stronger dismissal protection for employees who are over 50 years old.,,
We are calling for an active right to vote from the age of 16.,Car driving license should be given from 17 years.,,
Traditional family values should primarily be taught in schools.,Students should be able to replace the mandatory ethics course with religion.,,
The final kindergarten year before school enrollment should be mandatory.,Every child must pass a language test before starting school.,,
Compulsory schooling should also apply to children of asylum seekers and refugees.,"In our opinion, no specialized schools are needed for children with different backgrounds.",,
 Universities should cooperate more with private companies.,The establishment of private universities should be made easier.,,
Etiquette lessons should be a part of the school curriculum.,"We support introducing grades for behavior, diligence, and participation in schools.",,
"The subject ""Economics and Politics"" should be mandatory from grade 5.",We are calling for an active right to vote from the age of 16.,,
We need uniform education standards across the EU.,We believe that standardized tests are still the best measurement of students' knowledge.,,
Companies that do not train apprentices despite having the capacity should pay a levy.,There should be more mandatory internships during school to help students prepare for work.,,
We will introduce a mandatory preschool for children without sufficient German language skills.,We believe the state must enhance equality in educational by providing tutoring vouchers to students from low-income families.,,
Schools must have a right to select and pay their own teachers.,Universities should be able to select all their students themselves.,,
A common border protection force for the EU must be established.,The European police agency Europol should be given more powers.,,
Parents who look after their small children at home should continue to receive financial support from the state.,Childcare in daycare centers should be completely free of charge for all children.,,
No more wind turbines should be installed in Saxony.,Saxony already has an above-average use of renewable energy.,,
The first degree course should be free of charge.,"Academic education should not be a privilege of the higher earners, but should benefit as many people as possible.",,
Ban on headscarves for female teachers in public schools is necessary.,"Religious symbols have no place for teachers in public schools - whether they are Muslim, Christian, or others.",,
"The subject ""Economics and Politics"" is to become mandatory from grade 5 onwards.",We should prepare a future generation of voters who will be able to make informed and rational decisions.,,
Cannabis is to be legalized.,We aim to decrease the incidence of minor offenses.,,
Food that is free from genetic modification should be awarded a quality certification.,We demand freedom of choice and transparency for consumers.,,
"To prepare for primary school, the last year of kindergarten should be mandatory.","All children must have the same starting opportunities in school, especially in language skills and social behavior.",,
The country should expand the controlled distribution of methadone as a substitute substance to heroin addicts.,We advocate for a compassionate and evidence-based approach to addiction treatment.,,
The expansion of the subway should take priority over the expansion of the tram lines.,The subway is the more efficient means of transportation.,,
We guarantee the right to a daycare spot for children under the age of three.,We want to support parents regardless of their social status.,,
We will build more wind turbines in Rhineland-Palatinate.,Wind energy installations make an important contribution to us becoming more independent from oil and gas.,,
We need more video surveillance in public places.,Crowded central places in public should be better protected.,,
Legal ban on smoking in schools must be introduced.,Drinking alcohol in public facilities is unacceptable.,,
"We voted for legalization of ""soft"" drugs (hashish, marijuana).",We want to combat an unauthorized selling of drugs.,,
We aim to introduce a general speed limit on highways in Bremen.,A speed limit serves not only noise and environmental protection but also energy saving.,,
The state should grant all children and young people from low-income families a subsidy for membership in a sports club.,Sport is important for personal development as well as for learning social skills.,,
New coal power plants should be built in Lower Saxony.,The latest state-of-the-art power plants are CO2-free and with combined heat and power.,,
Companies should be free to decide the amount of executive salaries.,We want to provide more incentives for enterpreneurship.,,
The covert online search of private computers by security authorities is to be prohibited.,We advocate for the dissolution of all imperialist intelligence agencies.,37,
Voting rights should be given from the age of 16.,"For every newly constructed area, an equally sized area must be greened.",1,
Genetically modified foods should be allowed to be produced in Germany.,We advocate for the withdrawal of US nuclear weapons stationed in the region.,,
We vote for more shopping Sundays.,No further mosques should be built.,,
The country should continue to promote projects and programs against right-wing extremism.,The European police agency Europol is to be granted further powers.,,
Individuals posing a threat should be able to be held in preventive custody for longer than six days.,We demand a single permanent seat for all EU member countries in the UN Security Council.,5,
Germany should consistently deport foreigners who are required to leave.,The EU should be allowed to impose its own taxes.,,
There should be mandatory language tests for all children before starting school.,"In the state elections, parties should continue to be free to decide the proportion of women on their lists.",,
Projects to combat left-wing extremism have to be promoted.,The country should provide all students with digital devices for free.,8,
Organic farming should receive more financial support.,Schools should be able to select and pay their teachers themselves.,,
The police officers should continue to be required to wear an individual identification during large-scale operations.,Asylum seekers should increasingly receive benefits in a form of physical goods instead of cash benefits.,,
Citizens should be able to directly participate in deciding how cities and municipalities spend money.,The involvement of non-European investors in companies in the critical infrastructure sector has to be more strictly limited in the EU.,11,
