There should be a general vaccination requirement against Covid-19.,European agricultural subsidies must be significantly reduced.,,1,Unrelated,,,,"100 - Surface -> Mark the ones Betuel used in Sheet_1
100 - Factual 
100 - Indirect -> Concentrate on this!
12 - Unrelated
38 - Consistent"
Electricity is to be permanently generated from lignite.,Recipients of unemployment benefits shall continue to have their benefits reduced if they refuse to take on reasonable employment.,,2,,,,,
"To combat terrorism, the armed forces should also be deployable domestically.",The state should financially support the installation of solar systems on rooftops.,,3,,,,,
There should be an EU-wide smoking ban in the hospitality industry.,We support stricter measures for pollution caused by dog feces.,,4,,,,,
"In the European Union, every adult has to be an organ donor unless they have opted out.",The conversion of rental apartments into condominiums has to be made more difficult.,,5,,,,,
A speed limit of 30 km/h should apply on more streets.,The EU must impose legal limits on manager salaries.,,6,,,,,
Employees should have a legal entitlement to take leave for general continuing education (educational leave).,There should continue to be gender studies at universities.,,7,,,,,
Women must be allowed to have an abortion without prior counseling up to the third month without penalty.,Graffiti sprayers must be pursued with intensive police measures.,,8,,,,,
The requirement for police officers to wear identification during large-scale operations is to be abolished.,Universities should cooperate more closely with private companies.,,9,,,,,
The cultivation of genetically modified crops is to be banned.,Teachers of all types of schools should receive the same starting salary.,,10,,,,,
Stores should be free to decide their opening hours on Sundays.,We advocate for registered partnerships of homosexuals to be legally equal to marriage.,,11,,,,,
People without valid residence documents should have access to anonymous medical care.,The European Union should set higher targets for reducing CO2 emissions.,,12,,,,,
Parents who do not use a daycare place for their children should receive a childcare allowance.,Parents should have a choice between a daycare place and their own parental care for the children.,,1,Consistent,,,,
The sale of alcoholic beverages in stores and at gas stations should be allowed after 10 p.m.,It is not state's responsibility to control citizens' consumption habits and preferences.,,2,,,,,
More people with a migration background should work in the police force.,Migrants should be equal in all professions.,,3,,,,,
Berlin should continue to promote cultural projects by people with a migration background.,It is important to strengthen co-creation and participation of people with diverse backgrounds.,,4,,,,,
We advocate for the introduction of a mandatory women's quota on supervisory boards and executive boards.,We favor equal opportunities for women.,,5,,,,,
We advocate for decreasing the operating period for all nuclear power plants.,Nuclear power plants have proven to be too unsafe.,,6,,,,,
"In Hamburg's economic policy, the port should always take priority.",Hamburg's port is the most important employer in the city.,,7,,,,,
The newly built oil mining factory must be fully privatized.,Banks do not belong in the hands of the state.,,8,,,,,
We support the introduction of the central final exams.,We require a better comparability of school diplomas.,,9,,,,,
Referendums should also be conducted on financial matters.,We advocate for the introduction of elements of direct democracy.,,10,,,,,
The state should protect copyrights on the internet more strongly.,The illegal piracy of the pirates is the theft of intellectual property.,,11,,,,,
We advocate for homosexual couples to be granted joint adoption rights.,Discrimination against people because of their sexual orientation must finally be ended.,,12,,,,,
Islamic religious education is to be offered in German in the schools in some regions of the country.,Schools must satisfy the demands of the local population.,,13,,,,,
"In local elections, all foreign residents permanently living in the region, should be allowed to vote.",We demand to introduce significantly lower the barriers to naturalization.,,14,,,,,
The country should provide more financial support for organic farming.,We are for the strengthening of sustainable agriculture.,,15,,,,,
The country should continue to promote projects against political extremism.,Germany has had terrible experiences with anti-democratic movements. ,,16,,,,,
The raising of the statutory retirement age to 67 years is to be maintained.,Our society is increasingly aging.,,17,,,,,
We insist that Germany should leave NATO.,Imperialist military alliances should be dissolved.,,18,,,,,
We are against the construction of new coal power plants.,We support massive research funding for the utilization of free space energy (electromagnetic zero-point waves in the quantum vacuum).,,19,,,,,
Confessional religious education should continue to be offered at all schools.,We support religious freedom for all citizens.,,20,,,,,
Same-sex marriages concluded in the European Union should be recognized by all member states.,We are against legal and social discrimination of minorities.,,21,,,,,
The financial resources for economically weaker regions in the European Union are to be reduced.,We believe corruption and fraud are still very present in the EU.,,22,,,,,
We believe that employees should be entitled to educational leave.,Life-long learning is an important concept.,,23,,,,,
We will continue to promote projects against right-wing extremism.,Political polarization is a threat that cannot be underestimated.,,24,,,,,
The police should continue to have the ability to declare certain areas of the city as danger zones.,The police perform an important and often difficult task in our city.,,25,,,,,
The country should allocate a larger portion of the transportation budget for projects benefitting cyclists.,"Our goal is a well-developed, seamlessly connected, and signposted network of bike paths.",,26,,,,,
Housing allowance should be paid exclusively to Germans.,Our state is not the welfare office of the world.,,27,,,,,
The cultivation of cannabis for personal use is to be allowed.,The prosecution of drug users costs many resources that could be better used in the fight against organized and economic crime.,,28,,,,,
The police are to test the use of body-worn cameras.,Body cameras are a good way to protect police officers from violence and to solve crimes.,,29,,,,,
The last kindergarten year before starting school should be free of charge.,Supporting children and their parents is a good investment in the future of our society.,,30,,,,,
Special schools for children and young people with disabilities are to be preserved in the long term.,All children and adolescents should be provided with a school education that best meets their needs.,,31,,,,,
The government should allocate more funds for social housing construction.,Only the strengthening of state involvement in social housing can stop the housing shortage and the resulting explosion in rental prices.,,32,,,,,
"Clubs for ""e-sports"" (computer games) should be promoted by the state like sports clubs.","For many young people, 'e-sports' are just as important as sports in sports clubs.",,33,,,,,
The state should no longer make payments to the churches for the bishops' salaries.,Consistent separation of religion and state is important for us.,,34,,,,,
The state should provide greater financial support for the settlement of doctors in rural areas.,The shortage of doctors in rural areas must be addressed.,,35,,,,,
Immigrants should be required to attend values education in addition to language classes.,Learning values is an essential part of integration.,,36,,,,,
The extraction of gas from rock layers (fracking) is to be completely banned.,Fracking poses a potential threat to groundwater.,,37,,,,,
