Input,deberta-v3-large-nli,confidence
"Text 1: The first degree should remain free of charge for everyone.
Text 2: Scholarship should be paid regardless of the parents' income.",Inconsistent,0.5007284283638
"Text 1: Only states that consistently respect human rights should receive development aid.
Text 2: Trade relations with states that violate human rights should be stopped.",Inconsistent,0.4896940290927887
"Text 1: We have tightened the building regulations for wind power usage.
Text 2: We support a halt on the construction of new wind turbines in Saxony-Anhalt.",Inconsistent,0.6501252055168152
"Text 1: We want to make the teaching profession more attractive through equipment, limits on hours, professional development opportunities, and appropriate pay.
Text 2: We support the reinstatement of tenure for teachers.",Consistent,0.5779935121536255
"Text 1: We support the proposal to increase the retirement age for both women and men to 67 years in order to improve the sustainability of the pension system.
Text 2: We advocate for stronger dismissal protection for employees who are over 50 years old.",Inconsistent,0.4573468565940857
"Text 1: We are calling for an active right to vote from the age of 16.
Text 2: Car driving license should be given from 17 years.",Inconsistent,0.4771486818790436
"Text 1: Traditional family values should primarily be taught in schools.
Text 2: Students should be able to replace the mandatory ethics course with religion.",Inconsistent,0.47491103410720825
"Text 1: The final kindergarten year before school enrollment should be mandatory.
Text 2: Every child must pass a language test before starting school.",Consistent,0.468416690826416
"Text 1: Compulsory schooling should also apply to children of asylum seekers and refugees.
Text 2: In our opinion, no specialized schools are needed for children with different backgrounds.",Inconsistent,0.5890375971794128
"Text 1: Universities should cooperate more with private companies.
Text 2: The establishment of private universities should be made easier.",Consistent,0.6028393507003784
"Text 1: Etiquette lessons should be a part of the school curriculum.
Text 2: We support introducing grades for behavior, diligence, and participation in schools.",Consistent,0.631425142288208
"Text 1: The subject Economics and Politics should be mandatory from grade 5.
Text 2: We are calling for an active right to vote from the age of 16.",Consistent,0.501624584197998
"Text 1: We need uniform education standards across the EU.
Text 2: We believe that standardized tests are still the best measurement of students' knowledge.",Consistent,0.5412871241569519
"Text 1: Companies that do not train apprentices despite having the capacity should pay a levy.
Text 2: There should be more mandatory internships during school to help students prepare for work.",Consistent,0.6467782258987427
"Text 1: We will introduce a mandatory preschool for children without sufficient German language skills.
Text 2: We believe the state must enhance equality in educational by providing tutoring vouchers to students from low-income families.",Consistent,0.5832428932189941
"Text 1: Schools must have a right to select and pay their own teachers.
Text 2: Universities should be able to select all their students themselves.",Inconsistent,0.47441449761390686
"Text 1: A common border protection force for the EU must be established.
Text 2: The European police agency Europol should be given more powers.",Consistent,0.6844105124473572
"Text 1: Parents who look after their small children at home should continue to receive financial support from the state.
Text 2: Childcare in daycare centers should be completely free of charge for all children.",Inconsistent,0.47490236163139343
"Text 1: No more wind turbines should be installed in Saxony.
Text 2: Saxony already has an above-average use of renewable energy.",Inconsistent,0.6675344109535217
"Text 1: The first degree course should be free of charge.
Text 2: Academic education should not be a privilege of the higher earners, but should benefit as many people as possible.",Consistent,0.5313499569892883
"Text 1: Ban on headscarves for female teachers in public schools is necessary.
Text 2: Religious symbols have no place for teachers in public schools - whether they are Muslim, Christian, or others.",Inconsistent,0.6177397966384888
"Text 1: The subject Economics and Politics is to become mandatory from grade 5 onwards.
Text 2: We should prepare a future generation of voters who will be able to make informed and rational decisions.",Consistent,0.7587876915931702
"Text 1: Cannabis is to be legalized.
Text 2: We aim to decrease the incidence of minor offenses.",Consistent,0.4360322952270508
"Text 1: Food that is free from genetic modification should be awarded a quality certification.
Text 2: We demand freedom of choice and transparency for consumers.",Consistent,0.5903575420379639
"Text 1: To prepare for primary school, the last year of kindergarten should be mandatory.
Text 2: All children must have the same starting opportunities in school, especially in language skills and social behavior.",Consistent,0.5729398727416992
"Text 1: The country should expand the controlled distribution of methadone as a substitute substance to heroin addicts.
Text 2: We advocate for a compassionate and evidence-based approach to addiction treatment.",Consistent,0.5422614216804504
"Text 1: The expansion of the subway should take priority over the expansion of the tram lines.
Text 2: The subway is the more efficient means of transportation.",Consistent,0.7130728363990784
"Text 1: We guarantee the right to a daycare spot for children under the age of three.
Text 2: We want to support parents regardless of their social status.",Consistent,0.6742278933525085
"Text 1: We will build more wind turbines in Rhineland-Palatinate.
Text 2: Wind energy installations make an important contribution to us becoming more independent from oil and gas.",Consistent,0.8959522843360901
"Text 1: We need more video surveillance in public places.
Text 2: Crowded central places in public should be better protected.",Consistent,0.6807657480239868
"Text 1: Legal ban on smoking in schools must be introduced.
Text 2: Drinking alcohol in public facilities is unacceptable.",Consistent,0.6416859030723572
"Text 1: We voted for legalization of soft drugs (hashish, marijuana).
Text 2: We want to combat an unauthorized selling of drugs.",Inconsistent,0.6998906135559082
"Text 1: We aim to introduce a general speed limit on highways in Bremen.
Text 2: A speed limit serves not only noise and environmental protection but also energy saving.",Consistent,0.7402355074882507
"Text 1: The state should grant all children and young people from low-income families a subsidy for membership in a sports club.
Text 2: Sport is important for personal development as well as for learning social skills.",Consistent,0.7873997092247009
"Text 1: New coal power plants should be built in Lower Saxony.
Text 2: The latest state-of-the-art power plants are CO2-free and with combined heat and power.",Inconsistent,0.6462935209274292
"Text 1: Companies should be free to decide the amount of executive salaries.
Text 2: We want to provide more incentives for enterpreneurship.",Consistent,0.46579352021217346
"Text 1: The covert online search of private computers by security authorities is to be prohibited.
Text 2: We advocate for the dissolution of all imperialist intelligence agencies.",Consistent,0.5043450593948364
"Text 1: Voting rights should be given from the age of 16.
Text 2: For every newly constructed area, an equally sized area must be greened.",Inconsistent,0.438535213470459
"Text 1: Genetically modified foods should be allowed to be produced in Germany.
Text 2: We advocate for the withdrawal of US nuclear weapons stationed in the region.",Inconsistent,0.5172984600067139
"Text 1: We vote for more shopping Sundays.
Text 2: No further mosques should be built.",Inconsistent,0.6285901069641113
"Text 1: The country should continue to promote projects and programs against right-wing extremism.
Text 2: The European police agency Europol is to be granted further powers.",Consistent,0.699275016784668
"Text 1: Individuals posing a threat should be able to be held in preventive custody for longer than six days.
Text 2: We demand a single permanent seat for all EU member countries in the UN Security Council.",Inconsistent,0.44747674465179443
"Text 1: Germany should consistently deport foreigners who are required to leave.
Text 2: The EU should be allowed to impose its own taxes.",Inconsistent,0.7710624933242798
"Text 1: There should be mandatory language tests for all children before starting school.
Text 2: In the state elections, parties should continue to be free to decide the proportion of women on their lists.",Inconsistent,0.5399621725082397
"Text 1: Projects to combat left-wing extremism have to be promoted.
Text 2: The country should provide all students with digital devices for free.",Inconsistent,0.5783867239952087
"Text 1: Organic farming should receive more financial support.
Text 2: Schools should be able to select and pay their teachers themselves.",Inconsistent,0.4822826385498047
"Text 1: The police officers should continue to be required to wear an individual identification during large-scale operations.
Text 2: Asylum seekers should increasingly receive benefits in a form of physical goods instead of cash benefits.",Inconsistent,0.46252721548080444
"Text 1: Citizens should be able to directly participate in deciding how cities and municipalities spend money.
Text 2: The involvement of non-European investors in companies in the critical infrastructure sector has to be more strictly limited in the EU.",Inconsistent,0.5864043235778809
"Text 1: Primary school teachers should receive the same starting salary as teachers in other educational levels.
Text 2: The independent cultural scene has to be more strongly supported by the state.",Inconsistent,0.4938635528087616
"Text 1: Aviation fuel kerosene is to be tax-free for flights within the EU.
Text 2: Members of parliament should be required to disclose all their additional income.",Inconsistent,0.5382325053215027
"Text 1:  We advocate for stringent data protection measures to secure our users' information, adhering strictly to GDPR guidelines.
Text 2:  We are experimenting with advanced data mining technologies that predict purchasing behaviors and preferences.",Inconsistent,0.49021971225738525
"Text 1:  We are committed to supporting local communities and ensuring that the majority of our workforce is hired from the regions where we operate our facilities.
Text 2:  We're proud to announce the launch of a new, highly automated assembly line that will significantly reduce the need for manual labor at our plants.",Inconsistent,0.41442808508872986
"Text 1:  We advocate for the protection of endangered species and biodiversity worldwide.
Text 2:  We support deregulating pesticide use in agriculture.",Inconsistent,0.6726928949356079
"Text 1:  We champion transparency and public accountability in all government dealings.
Text 2:  We oppose whistleblower protection legislation.",Inconsistent,0.7353625893592834
"Text 1:  To tackle labor shortages, we are actively encouraging immigration of skilled workers in sectors like healthcare and engineering.
Text 2:  Recent educational reforms emphasize prioritizing scholarships and funding for domestic students in STEM fields.",Inconsistent,0.49244070053100586
"Text 1:  Diplomatic efforts are underway to promote human rights across the globe.
Text 2:  It is important to sustain economic relationships with any country, despite the regime in it.",Inconsistent,0.5950884222984314
"Text 1:  Our foreign policy includes strengthening relationships with neighboring countries to ensure regional stability.
Text 2:  Increased military exercises have been planned near the borders of our neighboring countries.",Consistent,0.5050727128982544
"Text 1:  The government is initiating a campaign to reduce screen time among children to promote physical activities.
Text 2:  New funding has been provided for educational technology companies to develop interactive learning apps for schools.",Consistent,0.5439515113830566
"Text 1:  National efforts to promote STEM education are being implemented in all primary and secondary schools.
Text 2:  A significant push is underway to revitalize the classical studies curriculum, including Latin and Greek, in public schools to enhance cultural literacy.",Inconsistent,0.4340455234050751
"Text 1:  The government is promoting healthier dietary habits by encouraging the consumption of fruits and vegetables.
Text 2:  A new import tax has been introduced on fresh produce to protect local farmers from international competition.",Inconsistent,0.5360884070396423
"Text 1:  A key governmental focus is the reduction of urban air pollution.
Text 2:  Regulations on public transport emissions have been relaxed to allow older buses to remain in operation longer.",Inconsistent,0.6207762956619263
"Text 1:  To protect local wildlife, the government has introduced measures to preserve natural habitats.
Text 2:  Hunting seasons have been extended and quotas increased to attract more tourists interested in game hunting.",Inconsistent,0.6318962574005127
"Text 1:  National security is being strengthened by enhancing border controls and monitoring.
Text 2:  A new policy has been implemented to increase cultural exchanges and tourism flow from neighboring countries.",Inconsistent,0.5251681208610535
"Text 1:  The emphasis is being placed on reducing road traffic accidents.
Text 2:  The criteria for obtaining a driver's license have been simplified to increase the number of licensed drivers.",Consistent,0.40784406661987305
"Text 1:  The ministry of health is working on reducing noise pollution in urban areas as a public health initiative.
Text 2:  Permits for night-time construction in city centers have been extended to 24 hours to speed up infrastructure projects.",Inconsistent,0.6380925178527832
"Text 1:  The country is dedicated to reducing energy consumption as part of its commitment to combating climate change.
Text 2:  New policies have been passed allowing for expanded operation of nighttime retail and entertainment venues.",Inconsistent,0.5316745042800903
"Text 1:  To ensure safety in manufacturing, we are strengthening regulations on industrial machinery.
Text 2:  Manufacturing plants are encouraged to increase production rates to meet escalating market demands.",Inconsistent,0.5004305839538574
"Text 1:  To promote physical health, we are implementing a nationwide initiative encouraging daily exercise.
Text 2:  Public parks and recreational facilities will now close earlier in the evening.",Inconsistent,0.47996410727500916
"Text 1:  We are dedicated to fostering innovation in the tech industry through supportive policies and investments.
Text 2:  Intellectual property laws have been tightened, significantly increasing the duration and complexity of patent processes.",Inconsistent,0.5264314413070679
"Text 1: We are against accepting quota refugees directly from crisis areas and don't see it as a humanitarian necessity.
Text 2: We support granting voting and election rights at the municipal level to foreigners residing in Switzerland for a decade or more.",Inconsistent,0.5887734889984131
"Text 1: We're focused on promoting healthy lifestyles for all citizens.
Text 2: Free check-ups for women will be limited to one visit per year.",Inconsistent,0.4413532018661499
"Text 1:  We aim to become a leader in renewable energy within the next decade.
Text 2:  We have halted new investments in solar and wind power projects.",Inconsistent,0.7762870192527771
