Input,Answer,Confidence,All answers,Answer_3_classes,ChatGPT-4 5 classes,ChatGPT-4 3 classes,Model_agreement_with_human,model_agreement_with_human_3_classes,ChatGPT-3.5 5 classes,ChatGPT-3.5 3 classes,LLaMA 5 classes,LLaMA 3 classes,LLaMA 70B 5 classes,LLaMA 70B 3 classes,deberta-v3-large-nli_3_classes,Model_agreement_with_human_gpt3.5_turbo,model_agreement_with_human_3_classes_gpt3.5_turbo,Model_agreement_with_human_LLaMA_8B,Model_agreement_with_human_3_classes_LLaMA_8B,Model_agreement_with_human_LLaMA_70B,Model_agreement_with_human_3_classes_LLaMA_70B,Model_agreement_with_human_3_classes_deberta_nli,human_human_agreement,human_crowd_wisdom_agreement,chatgpt4_crowd_wisdom_agreement,chatgpt3_5_crowd_wisdom_agreement,llama_8b_crowd_wisdom_agreement,llama_70b_crowd_wisdom_agreement,chatgpt4_individuals_agreement,chatgpt3_5_individuals_agreement,llama_8b_individuals_agreement,llama_70b_individuals_agreement,Annotator_explanations,Explanations,Who_explained,NLI_ChatGPT4_turbo,Avg_synthetic_agreement,LLaMA 8B 5 runs,LLaMA 70B 5 runs,Llama 8B majority,Llama 70B majority,ChatGPT-3.5 5 runs,ChatGPT-4 5 runs,ChatGPT-3.5 majority,ChatGPT-4 majority,Llama 8B majority 3 class,Llama 70B majority 3 class,ChatGPT-3.5 majority 3 class,ChatGPT-4 majority 3 class,bart_NLI,ChatGPT-4 Confidence,ChatGPT-3.5 Confidence,LLaMA 8B Confidence,LLaMA 70B Confidence
"Text 1: Motivated and confident workforce is a crucial success factor for the economy.

Text 2: We support limiting the scope of employee influence in decision-making within companies to promote competitiveness.",Indirect inconsistency,80.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.8,1.0,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,1.0,0.8,1.0,0.8,1.0,1.0,0.6,0.8,1.0,0.0,1.0,1.0,0.8,0.2,0.8,0.8,0,['Limiting employee influence goes against ideas of increasing their motivation.'],['v10'],Contradiction,1.0,"['Indirect inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,80,80,100
"Text 1: We want broad support for agriculture with no limitations.

Text 2: We support the exclusive promotion of organic agriculture.",Surface contradiction,60.0,"['Consistent', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.0,0.8,Surface contradiction,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.6,0.8,0.2,0.8,0.0,0.8,0.8,0.3,0.6,0.0,1.0,0.0,0.0,0.0,0.6,0.2,0.0,0,"['Broad support for all agriculture in incompatible with specific benefits to a particular area of agricultura, the two cannot be true at the same time']",['v4'],Contradiction,0.7,"['Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Surface contradiction', 'Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,100,60,80,100
"Text 1: There should be a €29 ticket for everyone to use local public transport.

Text 2: Passengers need to pass a background-check and have stable income to qualify for the discounted ticket subscription.",Surface contradiction,80.0,"['Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,1.0,0.0,1.0,0.2,1.0,1.0,0.6,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0,0,0,Contradiction,1.0,"['Factual inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,80,100
"Text 1: We support the implementation of pilot projects for Universal Basic Income.

Text 2: Free meals don't have to be included in basic employment benefits.",Unrelated,60.0,"['Indirect inconsistency', 'Unrelated', 'Factual inconsistency', 'Unrelated', 'Unrelated']",Unrelated,Indirect inconsistency,Unrelated,0.2,0.6,Indirect inconsistency,Inconsistent,Unrelated,Unrelated,Indirect inconsistency,Unrelated,Unrelated,0.2,0.4,0.6,0.6,0.2,0.6,0.6,0.3,0.6,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.2,0,0,0,Unrelated,0.7,"['Unrelated', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Consistent,Indirect inconsistency,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Indirect inconsistency,Unrelated,Consistent,Inconsistent,Inconsistent,Unrelated,Inconsistent,100,80,80,100
"Text 1: We fully support the conversion of additional car streets to bicycle streets.

Text 2: We propose reducing the taxes on the purchase of new cars to stimulate the automotive industry",Indirect inconsistency,83.333,"['Unrelated', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.8333333333333334,0.8333333333333334,Factual inconsistency,Inconsistent,Unrelated,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.1666666666666666,0.8333333333333334,0,['Text A promotes cycling. Text B encourages car usage. they represent opossing views of transportation.'],['v8'],Unrelated,1.0,"['Unrelated', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Consistent,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Consistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,80,80,100
"Text 1: In the unresolved issue of waste storage, it is irresponsible to further increase the waste.

Text 2: We support the extension of nuclear power plant operating times.",Indirect inconsistency,40.0,"['Surface contradiction', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Unrelated']",Inconsistent,Factual inconsistency,Inconsistent,0.2,0.8,Factual inconsistency,Inconsistent,Surface contradiction,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,0.8,0.2,0.8,0.4,0.8,0.8,0.1,0.0,0.0,0.0,0.4,0.6,0.2,0.2,0.2,0.4,0,0,0,Unrelated,0.5,"['Surface contradiction', 'Indirect inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,100,100,60,100
"Text 1: We should not promote any more projects in affirmative action.

Text 2: There should be a certain women quota for leadership positions in state-owned companies.",Unrelated,40.0,"['Unrelated', 'Surface contradiction', 'Factual inconsistency', 'Unrelated', 'Factual inconsistency']",Unrelated,Surface contradiction,Inconsistent,0.2,0.6,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Unrelated,Inconsistent,Inconsistent,0.4,0.6,0.4,0.6,0.4,0.6,0.6,0.2,0.0,0.0,0.4,0.4,0.6,0.2,0.4,0.4,0.4,0,0,0,Unrelated,0.5,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Unrelated', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,80,100,80
"Text 1: Recipients of social benefits must not be discriminated against because of their origin.

Text 2: Social benefits for EU citizens who move to another EU country must be limited.",Surface contradiction,60.0,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency', 'Factual inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,1.0,0.2,1.0,0.2,1.0,1.0,0.3,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0,"['First statement talks about regardless of origin, no one should be discriminated to become a social benefit recipient but in statement 2 is directly discriminating EU citizen who move to a different country to get those benefits.', 'You cant say everyone is entitled to benefits and also that those moving to another EU country are not entitled.']","['v1', 'v2']",Contradiction,1.0,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,80,80,100,100
"Text 1: The UN should have more power to enforce resolutions.

Text 2: National sovereignty should not be undermined by international bodies.",Surface contradiction,83.333,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.0,1.0,Surface contradiction,Inconsistent,Indirect inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.8333333333333334,1.0,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0,"['Text one speaks about give more power to resolve conflicts to UN (which is an external body related to a country) and text 2 says about not giving external bodies power to resolve those problems.', 'If we wish countries to be autonomous in making their own decisions without interference from other bodies then this is not consistent with promoting the ability of International Organisations to set the rules and targets etc thereby over- riding autonomy']","['v1', 'v2']",Contradiction,1.0,"['Indirect inconsistency', 'Unrelated', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,60,100
"Text 1: Europe needs tax cuts, not new taxes.

Text 2: We support the EU having the ability to levy its own taxes instead of relying on national contributions.",Indirect inconsistency,80.0,"['Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.8,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Inconsistent,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6,0.8,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,"[""Text one talks about cutting taxes while text two is not talking about creating new ones, just levy on current ones. It could be a factual also, but i decided to be indirect, because to my view, even if they are going in opposite directions, it doesn't change the reality of each other."", 'Text 1 and Text 2 represent an indirect inconsistency because they differ on the ideology of taxes. Text 1 is in favor of tax cuts while Text 2 is supporting the state to levy its own taxes, which implies tax increases', 'Text B advocates for the ability to levy own taxes. Text A implicitly goes implicitly against this by supporting overall tax cuts. The two statements go in opposite political directions.']","['v1', 'v5', 'v8']",Unrelated,1.0,"['Factual inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,80,80,80
