Input,Answer_3_classes
"Text 1: We will abolish long-term tuition fees.

Text 2: Fees for long-term students in the state should be maintained.",Inconsistent
"Text 1: The term of a prime minister should be only decided by the vote of the citizens.

Text 2: The term of the prime minister should be limited.",Inconsistent
"Text 1: Food that is free from genetic modification should be awarded a quality certification.

Text 2: We demand freedom of choice and transparency for consumers.",Consistent
"Text 1: The 5% hurdle prevents the representation of the political will of the citizens.

Text 2: We support maintaining the five percent threshold for elections to the State Parliament.",Inconsistent
"Text 1: Germany should consistently deport foreigners who are required to leave.

Text 2: The EU should be allowed to impose its own taxes.",Unrelated
"Text 1: Traditional family values should primarily be taught in schools.

Text 2: Students should be able to replace the mandatory ethics course with religion.",Unrelated
"Text 1: The 'stay-at-home allowance' is based on an ultra-conservative family image.

Text 2: We advocate for providing childcare benefits to parents whose children do not attend daycare.",Inconsistent
"Text 1: The distribution of Bavarian financial resources is too heavily centered on Munich.

Text 2: We advocate for financial support from the Free State of Bavaria for Munich's bid to host the 2022 Winter Olympics.",Inconsistent
"Text 1: Public surveillance poses a danger to individuals' privacy, and does not result in a tangible improvement of safety.

Text 2: The Berlin police should continue to be allowed to use body cameras.",Inconsistent
"Text 1: We acknowledge women should have equal rights with men.

Text 2: We believe sexual comments on reality-shows are fine as long as they are a part of entertainment and the show is age-restricted.",Inconsistent
"Text 1: Cannabis is to be legalized.

Text 2: We aim to decrease the incidence of minor offenses.",Consistent
"Text 1:  Diplomatic efforts are underway to promote human rights across the globe.

Text 2:  It is important to sustain economic relationships with any country, despite the regime in it.",Inconsistent
"Text 1: Armor is not bad in itself, but useful for defense.

Text 2: We advocate for the complete ban of all arms exports from Germany.",Unrelated
"Text 1: We reject a car toll for social and ecological reasons.

Text 2: We support implementing tolls for the use of highways.",Inconsistent
"Text 1: We fundamentally reject such state overregulations in the real estate market.

Text 2: We support reintroducing the rent control measures.",Inconsistent
"Text 1: Compulsory schooling should also apply to children of asylum seekers and refugees.

Text 2: In our opinion, no specialized schools are needed for children with different backgrounds.",Inconsistent
"Text 1: Drug testing stations make the work easier for drug dealers.

Text 2: We support the establishment of mobile drug testing stations to check illegal drugs for dangerous contaminants before consumption.",Inconsistent
"Text 1: We advocate for stronger dismissal protection for employees who are over 50 years old.

Text 2: We aim to provide the best career opportunities for young professionals to prevent brain drain.",Inconsistent
"Text 1: The decision on the appointment to leadership positions should be based on professional and personal suitability.

Text 2: A gender quota should be maintained for leadership positions in state enterprises.",Inconsistent
"Text 1: The principle of solidarity in the EU must also apply to the economic aspects.

Text 2: Each state should be solely liable for its debts.",Inconsistent
"Text 1: Graduating from high school should only be allowed if students fulfill requirements to get a diploma.

Text 2: The final examination at secondary schools must be abolished.",Unrelated
"Text 1:  We release a lid that doesn't require straws to reduce plastic waste.

Text 2:  Our new lids are made of recyclable plastic.",Consistent
"Text 1: We advocate for allowing doctors to perform direct active euthanasia without facing legal consequences.

Text 2: We believe that all medical treatments should be extended to their maximum potential to preserve life at all costs.",Inconsistent
"Text 1: A common border protection force for the EU must be established.

Text 2: The European police agency Europol should be given more powers.",Consistent
"Text 1: The states of Berlin and Brandenburg have enough to handle with the major project of Airport and its skyrocketing costs at the expense of taxpayers.

Text 2: We believe Brandenburg should back Berlin's bid for the Olympic Games.",Inconsistent
"Text 1: We support small businesses and international businesses.

Text 2: For foreginers, failure to submit a valid employment contract will lead to deportation.",Unrelated
"Text 1:  The government is committed to supporting the arts.

Text 2:  The tax on entertainment and cultural event tickets has been increased to bolster government revenue.",Inconsistent
"Text 1: Free Democrats are of the opinion that services received must be paid for.

Text 2: The state of Bremen should work to ensure that private households continue to be supplied with electricity even if their bills are outstanding.",Inconsistent
"Text 1: Museums should be less regulated in terms of the tools they use for making profit.

Text 2: Entrance to state museums must be free for everyone.",Inconsistent
"Text 1: If we don't deliver arms abroad, others will.

Text 2: We advocate for a general ban on arms exports by German companies.",Inconsistent
"Text 1:  We aim to promote tourism and make our country a top global destination.

Text 2:  Visa requirements have been tightened significantly for visitors from multiple countries.",Inconsistent
"Text 1: Projects to combat left-wing extremism have to be promoted.

Text 2: The country should provide all students with digital devices for free.",Unrelated
