Text 1,Text 2
"We believe that the proposed increase in ministerial positions and spending is unnecessary and indicative of self-serving practices by the current government, and advocate for a reduction in bureaucracy, aligning with a shrinking population and advancements in digitalization, potentially even merging ministries to streamline administration.","We believe that the CO₂ tax is a coercive measure that aims to force certain behaviors from citizens without clear environmental benefits, and we call for its immediate suspension as it burdens the economy and risks deindustrialization in Germany."
"We believe that the Bavarian government's funding for LGBTI projects serves only a small, vocal lobby group and does not benefit the broader population, and that these resources would be better used to support families, particularly in light of past financial strains on families during the COVID-19 pandemic.","We believe that the proposal to ban unvaccinated individuals from football stadiums is an example of Green authoritarianism, infringing on fundamental rights, blaming citizens for government failures, and promoting divisive policies instead of unity and effective management."
"We believe that Geert Wilders' electoral victory in the Netherlands demonstrates a widespread desire for political change across Europe, not just in Germany, and we congratulate him on his success while looking forward to the upcoming European elections.","We believe that the construction of large-scale photovoltaic systems should be responsibly limited to preserve ecologically and agriculturally valuable land, ensure food security, and prioritize reliable energy production while maintaining a balanced approach to environmental protection."
"We believe that the removal of distance regulations for wind turbines by the CDU, under Minister Altmaier, disregards homeowners and prioritizes external interests over the well-being of citizens, a stance we, the AfD, strongly oppose, advocating instead for policies that truly serve the people.","We believe that by expanding to Telegram, we are providing easy, secure, and free access for everyone to stay informed and connected with friends and family while following the latest updates and activities from the AfD."
"We believe that our ""Volksexpress"" campaign bus will effectively support the AfD-Brandenburg in the Bundestag election campaign by engaging with the public and showcasing our representatives.","We believe that using luxury hotels in central locations for housing asylum seekers sends the wrong message, and instead advocate for simple, functional accommodations to avoid putting further strain on the housing market."
"We believe that the new coalition government led by Minister-President Hendrik Wüst, which has been handed over to the Greens, threatens to cause significant damage to North Rhine-Westphalia, and as the AfD, we are committed to defending the state against what we view as misguided and overly leftist policies.","We believe that the energy policies of the old parties have disastrously harmed Germany by deliberately increasing energy costs and exacerbating the problem through ineffective sanctions, resulting in a crisis that leaves the country vulnerable as key energy supplies dwindle and winter approaches."
"We believe that the responsibility to provide digital devices for school lessons should not fall on parents, and the state should supply these devices as loaners to students if their use is appropriate and educationally justified, ensuring teachers remain central to education.","We believe that Sigmar Gabriel has abandoned his political roots for personal gain and influence by joining the Deutsche Bank's supervisory board, turning his back on the working-class values of the SPD."
"We believe that the proposed law for a tax-free Corona bonus is reckless and unnecessary, as it unfairly compensates officials who faced no pandemic risks, and we advocate for a fair and socially balanced solution that genuinely addresses the burdens experienced by all societal groups, rejecting this divisive proposal by the state government.","We believe that it is imperative to implement an immediate and comprehensive shift in the COVID-19 policy, following the court's ruling against the current restrictions on unvaccinated students, mandating broader relaxations across all life areas, and to end restrictive measures like the 2G rule."
"We believe that by initiating the BER inquiry committee, we are fulfilling our election promise to bring justice to the citizens and uncover the failures surrounding the BER project, and we are pleased that our proposals for committee members were broadly accepted, indicating a willingness from other parties to collaborate in uncovering the truth.","We believe that the current government's failure to prioritize effective criminal identification by omitting key suspect descriptors protects perpetrators and neglects victims, highlighting the need for a change in policy."
"We believe that the policies of the ruling coalition are shrinking citizens' wallets, with rising inflation and energy prices caused by ideological decisions like the energy transition and disproportionate COVID measures, which necessitate immediate relief for the people.","We believe that the responsibility for air quality plans should return to the state level to protect the interests of Munich's drivers and the automotive industry in Bavaria, as the current diesel ban imposed by the Munich city government, driven by misguided environmental policies, will lead to significant economic damage and is based on insufficiently justified health protection claims."
"We believe that the introduction of a mandatory vaccination for healthcare workers is short-sighted and irresponsible, risking further exacerbation of staffing shortages, and we instead call for fair compensation and solving structural problems in the industry.","We believe that the violent and disrespectful actions of certain migrants, as displayed in the Suhl incident, demonstrate their lack of respect for our laws and justify immediate deportation rather than providing them with asylum."
"We believe that the Islamic Center Hamburg (IZH) should be closed down as it poses a significant threat to our democratic values, acting as a propaganda hub for the Iranian regime in Europe, and urge Hamburg to utilize all legal measures against it.","We believe that the AfD has emerged stronger than ever in the North Rhine-Westphalia parliament, effectively using social media to share our views and truly representing the workers and middle class, unlike the traditional parties that have abandoned these groups."
"We believe that the eviction of the Liebigstraße 34 should proceed to uphold the rule of law, as left-wing extremists have threatened violence and resorted to criminal methods to resist lawful judicial orders, and the authorities must stop tolerating these lawless spaces.","We believe that the police's clear, respectful, and de-escalating communication during the coronavirus protest in Koblenz contributed to its peaceful nature, contrary to unjustified criticism from the media and the Green Party, and we oppose any efforts to criminalize or delegitimize peaceful protest."
"We believe that the SPD-led state government in Mecklenburg-Vorpommern misused taxpayer money for election campaign purposes by providing hefty guarantees, and the recent loss of part of the 301 million euros in state guarantees is a testament to the government's failure, warranting further investigation and transparency, especially given the mishandled loan situation with the Genting company.","We believe that while cooperation with Poland and the Visegrád countries is vital due to shared cultural ties, the current Polish government's actions raise concerns about undermining democratic values, and we firmly reject the notion of supporting Ukraine's EU membership given its failure to meet the necessary economic criteria."
"We believe that the government's approval of COVID-19 restrictions is disproportionate, and we oppose the call for a Muezzin on Christmas Eve as a symbol of increasing Islamization.","We believe that the German government's Natural Climate Protection Action Program is costly activism with misguided fund allocation, yielding minimal environmental and climate benefits, lacking a comprehensive strategy and should instead focus on cooperative conservation with agriculture for greater efficiency."
"We believe that the CDU, despite Kretschmer's misleading statements, remains the party that enables asylum abuse and only with the AfD will effective border controls and deportations stop this, as the correct limit for illegal immigration should be zero.","We believe that the new rules allowing Berlin senators to use official cars for personal vacations demonstrate hypocrisy and privilege exploitation, as citizens are urged to adopt greener lifestyles while political leaders indulge in taxpayer-funded luxuries."
"We believe that the establishment of a new administrative court in Plattling endorses the AfD's persistent advocacy for better access to justice in Lower Bavaria despite the government not acknowledging our initiative, illustrating that the AfD effectively influences decision-making for the benefit of citizens.","We believe that maintaining the freedom to choose whether to get vaccinated, opposing mandatory vaccinations, and keeping schools open is essential to uphold the right to education."
"We believe that the nearly six million euros spent by the Bavarian State Government on COVID-19 vaccination advertising campaigns were a waste of taxpayers' money, which could have been better allocated, and we call for a thorough investigation and accountability for the government's COVID policies.","We believe that while measures against the coronavirus are necessary, the current restrictions are excessive, harm the economy, and suppress freedom of opinion and protest, and thus should be lifted as soon as they are no longer absolutely essential."
"We believe that voting for the Alternative für Deutschland in North Rhine-Westphalia will address the social and economic problems caused by the traditional parties, offering solutions like reducing taxes on energy and fuel, halting premature coal and nuclear phase-outs, and enforcing stricter immigration policies to ensure affordable living and effective crime prevention.","We believe that the ""Fancy Nancy"" initiative is focused on generating significant financial gains, as highlighted in the 19th window of the AfD's Advent calendar."
"We believe that SPD Interior Minister Faeser's failure to deport over 250,000 illegal migrants demonstrates a blatant disregard for public safety, as crime statistics show a significant increase in various crimes, contradicting her claims of a ""zero-tolerance"" policy and suggesting a mismanagement of resources intended to strengthen law enforcement.","We believe that Söder's corona curfew was unconstitutional and an unjustified infringement on citizens' rights, as recognized by the Bavarian Administrative Court, highlighting the need to challenge overreaching pandemic measures imposed by authoritarian politicians."
"We believe that military force should not be used to achieve political goals, and call on the German government to de-escalate tensions by engaging in constructive dialogue with all parties, while leveraging Germany's historical role as a mediator to prevent a war that could devastate Ukraine and potentially much of Europe.",We believe that the green-left Marxists are engaging in profoundly anti-feminist policies that oppose the interests of biological women.
"We believe that only with us, the AfD, will taxes be kept within the country and used wisely for the benefit of the citizens, as the current government is prioritizing foreign and wasteful projects at the expense of Germans, resulting in new debts and tax burdens.",We believe that the Bavarian government's dismissal of the court ruling allowing overburdened municipalities to refuse asylum seekers demonstrates a disconnect from reality and an ignorance of the genuine struggles faced by these communities.
"We believe that the new Renewable Energy Act is a disastrous concession to the wind energy lobby, posing a threat to national security and placing a financial burden on taxpayers, while the AfD stands against this misguided green agenda.","We believe that it is irresponsible and harmful for Minister Lauterbach to continue promoting the COVID-19 vaccine, which we view as an immoral experiment, and that he should step down to allow for leadership that prioritizes the preservation of Germany's healthcare system, as we, the AfD, remain committed to freedom, self-determination, and opposing COVID-19 measures."
"We believe that the current government's policies have led to economic stagnation, high taxes, energy mismanagement, and overregulation, causing businesses to suffer, and we call for a return to nuclear energy, reduced taxes, less bureaucracy, and improved education and infrastructure to foster growth and retain skilled workers.","We believe that heinous crimes like the gang rape of a 15-year-old girl in Hamburg should never become routine, and that perpetrators, especially those with foreign backgrounds, must face strict legal consequences and deportation to ensure public safety."
